input,output
"Gordon may strengthen to hurricane status before making landfall along the central Gulf Coast tonight bringing risky storm surge, heavy rain, and damaging winds.","['Gordon <> Hurricane', 'landfall <> Natural disaster', 'central Gulf Coast <> Geographical location', 'storm surge <> Natural disaster', 'heavy rain <> Weather phenomenon', 'damaging winds <> Weather phenomenon']"
This Cookie Notice applies to the-millennials-shibuya-shibuya-ku-jp. book. direct owned and operated by The Millennials Shibuya and describes how we use personal data collected through Cookies and other techniques including pixels ('Cookies') on our website the-millennials-shibuya-shibuya-ku-jp.,"['The Millennials Shibuya <> Company/Brand', 'Cookie Notice <> Legal document', 'Cookies <> Technology', 'Website <> Digital platform']"
Looks like we made it to Friday. . . That means that the weekend is upon us.,"['Friday <> Date/Time', 'weekend <> Date/Time', 'us <> Person/Group']"
"Areas of expertise include web, and print content development, email marketing, project management, community outreach, and public speaking.","['web content development <> skill/expertise', 'print content development <> skill/expertise', 'email marketing <> skill/expertise', 'project management <> skill/expertise', 'community outreach <> skill/expertise', 'public speaking <> skill/expertise']"
"In the market for a scent that’s heady, rich, and downright dudelike? Look no further than across the aisle, next to the beard oil. Ojai Wild Redwood Leaves – is that a burly, musky lumberjack ensconced in the woods of Big Sur, or is it you in line at the DMV?","['scent <> product', 'heady <> attribute', 'rich <> attribute', 'dudelike <> attribute', 'beard oil <> product', 'Ojai Wild Redwood Leaves <> product', 'burly <> attribute', 'musky <> attribute', 'lumberjack <> occupation', 'woods of Big Sur <> location', 'DMV <> organization']"
"Most popular Coco Rocha photos, ranked by our visitors.","['Coco Rocha <> Person', 'photos <> Object', 'ranked <> Action', 'visitors <> Group']"
"By the way, you should keep in mind that fishing in rivers is only legal under the licence.","['fishing <> activity', 'rivers <> location', 'licence <> legal document']"
"FLIR cameras integrate with leading MFD systems from Raymarine, Furuno, Garmin and Simrad.","['FLIR cameras <> Technology Product', 'Raymarine <> Technology Company', 'Furuno <> Technology Company', 'Garmin <> Technology Company', 'Simrad <> Technology Company', 'MFD systems <> Technology Product']"
"If you are reading this article, you are probably trying to find out about web hosting.","['web hosting <> service', 'article <> content type', 'reading <> activity', 'individuals <> group', 'organizations <> group', 'website <> digital entity', 'World Wide Web <> digital entity']"
"News	Welcome Dr. Andrew Lindekugel, DPM, Podiatry!","['Dr. Andrew Lindekugel <> Person', 'DPM <> Title', 'Podiatry <> Field of Specialization']"
"On this episode of The Turbogamer Podcast, we talk about everything you could ever imagine, but we focus on the games you should be playing.","['The Turbogamer Podcast <> Media Outlet', 'Episode <> Media Event', 'Games <> Entertainment', 'Playing <> Action', 'Focus <> Attention']"
950+ unique workspaces. One pass.,['950+ unique workspaces <> workspace']
"org/forum”) and phpBB (hereinafter “they”, “them”, “their”, “phpBB software”, “www.","['org/forum”) <> software', 'phpBB <> software', 'www. <> website', 'them <> company/organization', 'their <> company/organization', 'they <> company/organization']"
"phpbb. com”, “phpBB Group”, “phpBB Teams”) use any information collected during any session of usage by you (hereinafter “your information”).","['phpbb.com <> website', 'phpBB Group <> organization', 'phpBB Teams <> organization', 'usage <> activity', 'your information <> data']"
You are not allowed to bring away over 15 kilos of fish outside the country.,"['15 kilos of fish <> Quantity', 'country <> Geographical location']"
"We&apos ve all been there. Craving a McFlurry, only to be told that the ice cream machine is, yet again, ""broken.","['McFlurry <> Food Item', 'ice cream machine <> Device', 'broken <> Condition']"
"We’ve decided to host a small gathering for Thanksgiving in our temporary home, the apartment in the basement of our new house.","['Thanksgiving <> Holiday', 'temporary home <> Residence', 'apartment <> Dwelling', 'basement <> Location', 'new house <> Residence']"
"Is ADMASSES a valid Scrabble word? How many Scrabble points is ADMASSES worth? Find Anagrams, Scrabble information including points value, and more about the word 'ADMASSES' below.","['ADMASSES <> Scrabble Word', 'Scrabble <> Game', 'Points <> Scrabble Scoring System', 'Anagrams <> Word Game']"
We all know Quantum Leap for there softsynths.,['Quantum Leap <> Company/Product']
"Everyone makes choices. Their outlook on life, whether at home, at work, behind the wheel or at the theater, directly correlates to the decision to be either positive or negative.","['Everyone <> People', 'choices <> Action', 'outlook on life <> Perspective', 'home <> Place', 'work <> Activity', 'behind the wheel <> Activity', 'theater <> Place', 'positive <> Attitude', 'negative <> Attitude']"
2 Judicial Commission of New South Wales 3 Sentencing Trends & Issues A deferred sentence pursuant to s 11 of the Crimes (Sentencing Procedure) Act 1999. . . . � Crimes (Domestic and Personal Violence) Act 2007 (Click here). � Crimes (Sentencing Procedure) Act 1999 (Click here).,"['Judicial Commission of New South Wales <> Organization', '', 'Sentencing Trends & Issues <> Publication', '', 'Crimes (Sentencing Procedure) Act 1999 <> Legislation', '', 'Crimes (Domestic and Personal Violence) Act 2007 <> Legislation', '', 's 11 <> Section']"
My company needed to attend a conference at the Palm Springs Convention center during a very busy weekend with many events taking place simultaneously. Hotels were booked solid. I'm so glad we decided to check out our alternatives for the six of us.,"['My company <> Organization', 'conference <> Event', 'Palm Springs Convention center <> Venue', 'weekend <> Time Period', 'events <> Occurrence', 'Hotels <> Accommodation', 'six of us <> Group of People']"
"4. 01 No noxious or offensive activity, including excessively loud music, shall be carried on upon any lot, nor shall anything be done thereon or any condition permitted to exist thereon which may be or become an annoyance, nuisance, or hazard to the heath of the neighborhood.","['noxious/offensive activity <> activity type', 'excessively loud music <> noise type', 'lot <> property type', 'annoyance <> effect type', 'nuisance <> effect type', 'hazard <> effect type', 'neighborhood <> location type']"
"Modern, all-in-one, automatically-controlled single distillation water distiller made of stainless steel. Designed for producing high quality distillate without full-time personnel control. CE-certified.","['stainless steel <> material', 'distillation water distiller <> product', 'high quality distillate <> quality', 'full-time personnel control <> operation', 'CE-certified <> certification']"
The amounts of fish and its size as well as various methods of fishing attract both professional and amateur fishermen.,"['fish <> species', 'size <> measurement', 'fishing <> activity', 'professional fishermen <> occupation', 'amateur fishermen <> hobby']"
. . . but it also reduces costs associated with workplace accidents while increasing the division's competitiveness.,"['workplace accidents <> Safety Issue', ""division's competitiveness <> Business Performance""]"
So the abundant haul will get to be served outright.,"['abundant <> Quantity', 'haul <> Transport', 'served <> Food service']"
In shallow and swift rivers you can catch graylings and cods.,"['shallow rivers <> geographic feature', 'swift rivers <> geographic feature', 'graylings <> fish species', 'cods <> fish species']"
"The remainder are private lets. Housing of all types tends to be more expensive than in neighbouring areas, other than Edinburgh.","['private lets <> Housing type', 'neighbouring areas <> Geographical area', 'Edinburgh <> Geographical area']"
The fishing in seas and fjords has no restrictions except from one case.,"['fishing <> activity', 'seas <> location', 'fjords <> location', 'restrictions <> limitation', 'case <> exception']"
Milk Chocolate I Heart You Plaque. Measures approximately 2 1/2 x 8 1/2. Weighs approximately . 63 lbs.,"['Milk Chocolate <> Food Item', 'I Heart You Plaque <> Gift Item', 'Measures <> Measurement', '2 1/2 x 8 1/2 <> Measurement', 'Weighs <> Measurement', '.63 lbs <> Measurement']"
"As an experienced Analyst for the past 9 years, I have worked on projects in Fund Accounting, Marketing and E-Commerce all using Microsoft Excel and Google Sheets. Hire me and let's hear more about your projects.","['Analyst <> Job Title', 'Fund Accounting <> Project', 'Marketing <> Project', 'E-Commerce <> Project', 'Microsoft Excel <> Tool', 'Google Sheets <> Tool']"
Board positions are elected for a two-year term.,"['Board positions <> Job Title', 'Two-year term <> Time Period']"
"The pool, spa, air conditioning and other appliances all worked great. Beds were dreamy. The location makes it perfect for convention center attendees who want to be able to go back and forth throughout the day.","['pool <> recreational amenity', 'spa <> recreational amenity', 'air conditioning <> appliance', 'appliances <> household appliances', 'Beds <> furniture', 'location <> geographical location', 'convention center <> event venue', 'attendees <> event participants']"
The time for the RHPCS School Board elections is upon us.,"['RHPCS School Board <> Organization', 'elections <> Event']"
"San Marcos, CA –On February 05, 2019, at approximately 8:48 p. m. , deputies from the San Diego County Sheriff’s San Marcos Station Traffic Division responded to a hit and run collision involving a vehicle and pedestrian on West Borden Road at the intersection of Comet Circle.","['San Marcos <> Location', 'February 05, 2019 <> Date', '8:48 p.m. <> Time', 'San Diego County Sheriff’s San Marcos Station Traffic Division <> Organization', 'hit and run collision <> Event', 'vehicle <> Object', 'pedestrian <> Object', 'West Borden Road <> Location', 'Comet Circle <> Location']"
"Ground has been broken on a $2. 7 million dollar project just east of the Frances Streitel Villa assisted living center, 523 N.","['Ground <> location', 'Frances Streitel Villa <> organization', '523 N. <> location', '$2.7 million dollar project <> project']"
Buy Fluxil 'Fluoxetine' Online Without Prescriptions.,"['Fluxil <> medication', 'Fluoxetine <> medication', 'Online <> service', 'Prescriptions <> document']"
Skyrunning UK has confirmed the races and dates that will make up this year’s calendar and has introduced a series of changes to the points system.,"['Skyrunning UK <> Organization', 'races <> Event', 'dates <> Time', 'calendar <> Schedule', 'points system <> System', 'changes <> Modification']"
"95% of our stuff is in storage while our house is being renovated, including all our lovely fall decorations and all my craft supplies.","['95% <> Percentage', 'storage <> Location', 'house <> Building', 'renovated <> Action', 'fall decorations <> Object', 'craft supplies <> Object']"
"The Shaw JCC of Akron and the Jewish Community Board of Akron will host a Holocaust memorial service with music and a candle lighting ceremony from 7 to 8 p. m. May 2 at the Schultz Campus for Jewish Life, 750 White Pond Drive.","['The Shaw JCC of Akron <> Organization', 'Jewish Community Board of Akron <> Organization', 'Holocaust <> Event', 'Memorial service <> Event', 'Music <> Entity', 'Candle lighting ceremony <> Event', 'Schultz Campus for Jewish Life <> Place', 'White Pond Drive <> Location', 'May 2 <> Time', 'Akron <> Location']"
"This policy explains in detail how “MaxCoderz” along with its affiliated companies (hereinafter “we”, “us”, “our”, “MaxCoderz”, “http://maxcoderz.","['MaxCoderz <> Company Name', 'we <> Pronoun', 'us <> Pronoun', 'our <> Pronoun', 'http://maxcoderz. <> Website', 'policy <> Document', 'affiliated companies <> Business Group']"
How Does A Student Receive Gifted Education Services?,"['Student <> Person', 'Gifted Education Services <> Service', 'Education Institution <> Organization']"
"Ben Short, 27, bought his first home three years ago using Shared Ownership.","['Ben Short <> Person', '27 <> Age', 'first home <> Real Estate Property', 'three years ago <> Time', 'Shared Ownership <> Real Estate Program']"
"Located just 2 miles south of Akureyri City, the capital of Northern Iceland, Akureyri Airport (IATA Code- AEY) is a major international airport. When visiting this lively city, make sure you have pre-booked car rental from Akureyri Airport with us.","['Akureyri City <> Location', 'Akureyri Airport <> Location', 'IATA Code- AEY <> Identifier', 'Car rental <> Service', 'Us <> Organization']"
"The amount of water lost from leaking pipes could be over 100 gallons. Not only will broken pipes leave you without water, but it could put you out of your home or business for some time, and leave a big mess behind.","['water <> resource', 'leaking pipes <> problem', 'broken pipes <> problem', 'home <> property', 'business <> property', 'mess <> consequence']"
"In these cases, the one consistent service that has never failed has been Amateur Radio.","['Amateur Radio <> Communication Service', 'Cases <> Event/Scenario']"
"Tokyo Jungle, Pokemon, Dishonored, XCOM, Torchlight II…you know, the great stuff. Why aren’t you playing these games yet?","['Tokyo Jungle <> Video Game', 'Pokemon <> Video Game', 'Dishonored <> Video Game', 'XCOM <> Video Game', 'Torchlight II <> Video Game']"
"Despite the Internet, cell phones, email and modern communications, every year whole regions find themselves in the dark.","['the Internet <> Technology', 'cell phones <> Technology', 'email <> Technology', 'whole regions <> Geographical Location']"
"Cupid is the moving and inspiring true story of a war horse, one of many thousands that were shipped across the English Channel a hundred years ago to play their part on the Western Front during the First World War.","['Cupid <> War horse', 'English Channel <> Geographical location', 'Western Front <> Military Front', 'First World War <> Historical event', '']"
Featuring Kurogane and Fai from Tsubasa Reservoir Chronicle.,"['Kurogane <> Character', 'Fai <> Character', 'Tsubasa Reservoir Chronicle <> Series']"
"For our established customers, we are pleased to offer a Customer Portal.","['Customer Portal <> Service/Feature', 'established customers <> Customer/Group']"
"Many of the people who got the opportunity to work with Fosse remember him for his addictive personality, but it was undebated that he was a brilliant choreographer and director.","['Fosse <> Person', 'addictive personality <> Personality Trait', 'choreographer <> Profession', 'director <> Profession']"
Visit us online at elitemarine59. com for daily updated photos and specifications.,"['elitemarine59.com <> website', 'daily updated photos <> image gallery', 'specifications <> product details']"
Announcing: A few spaces remaining for Cortona June 8-15 – also – Reduced Price!,"['Cortona <> Location', 'June 8-15 <> Date range', 'Reduced Price <> Pricing']"
"Cupid had been a father’s gift to his 15-year-old son, and when war broke out father, son and horse found themselves facing the horrors of the conflict together.","['Cupid <> Horse', 'father <> Human', 'son <> Human', 'war <> Conflict', 'horrors <> Negative emotion', 'conflict <> Negative event']"
His unique style of jazz choreography captivated many audiences during his career.,"['jazz choreography <> art form', 'audiences <> people', 'career <> profession', '']"
"After more than two years of R&D, this new material is set to advance the state of HIFU and medical therapy devices, as well as ultrasonic cleaning, welding, sonar, high voltage generators, and more.","['material <> product', 'R&D <> process', 'HIFU <> technology', 'medical therapy devices <> product', 'ultrasonic cleaning <> process', 'welding <> process', 'sonar <> technology', 'high voltage generators <> product']"
"Posted on August 1, 2015, in Events and tagged @bookexpoaus, Australian Publishers, Bloggers Conference, Book expo, Book Expo Australia, book giveaways, bookexpoaustralia, Creatives On The Couch, Dino Hunt, Max Davine, Premiere Episode, Sydney Showground.","['August 1, 2015 <> Date', 'Events <> Entity group', '@bookexpoaus <> Handle/Username', 'Australian Publishers <> Entity group', 'Bloggers Conference <> Event', 'Book expo <> Event', 'Book Expo Australia <> Event', 'Book giveaways <> Entity group', 'bookexpoaustralia <> Domain/Website', 'Creatives On The Couch <> Entity', 'Dino Hunt <> Entity', 'Max Davine <> Entity', 'Premiere Episode <> Entity', 'Sydney Showground <> Entity']"
Wouldn't it be fantastic to have a list of the best places to buy skincare - with free 'get money off skincare' codes instantly at your fingertips?,"['list of the best places to buy skincare <> skincare retailers', 'get money off skincare codes <> discount codes']"
"Planting Trees in Cities Leads to Positive Economic, Environmental and Health Benefits - GreenBuzz Berlin e. V.","['Planting Trees <> Environmental Benefit', 'Cities <> Economic Benefit', 'Health Benefits <> Health Benefit']"
"Injuries associated with deteriorating folding chairs may require corrective surgeries, hospitalization and significant recovery times.","['Injuries <> Injury type', 'folding chairs <> Furniture type', 'corrective surgeries <> Medical procedure', 'hospitalization <> Medical treatment', 'recovery times <> Time period']"
"X. Pang, Z. Q. Liu, S. Q. Wang, J. K. Shang.","['X. Pang <> Person', 'Z. Q. Liu <> Person', 'S. Q. Wang <> Person', 'J. K. Shang <> Person']"
"Four (4) positions are available during this election: One (1) Parent seat, one (1) Community Member seat and two (2) either Parent or Community Member seats.","['Parent seat <> Position', 'Community Member seat <> Position', 'Parent or Community Member seats <> Position']"
Cheap Fluxil 'Fluoxetine' Online No Prescription.,"['Cheap Fluxil <> Drug Name', ""'Fluoxetine' <> Drug Name"", 'Online <> Service Type', 'No Prescription <> Prescription Requirement']"
"These radio operators, often called “hams” provide backup communications for everything from the American Red Cross to FEMA and even for the International Space Station.","['radio operators <> profession', 'hams <> nickname', 'American Red Cross <> organization', 'FEMA <> organization', 'International Space Station <> object']"
"Concrete Manufacturing. More than 250,000 people work in concrete manufacturing. . . . Poorly maintained or improperly handled vehicles can lead to crushing injuries at the plant site or other injuries for truck drivers.","['Concrete Manufacturing <> Business/Industry', '250,000 people <> Human Resource', 'Poorly maintained vehicles <> Safety Hazard', 'Improperly handled vehicles <> Safety Hazard', 'Crushing injuries <> Physical Injury', 'Plant site <> Workplace', 'Truck drivers <> Occupation']"
"There are plenty of reasons to tunnel one network connection through another without encryption: You might, for instance, want to transparently connect two separate networks (e. g. data centers) through another, or want to use a publicly reachable IP address behind your providers NAT.","['network connection <> Technology/Infrastructure', 'encryption <> Technology/Security', 'networks <> Technology/Infrastructure', 'data centers <> Technology/Infrastructure', 'publicly reachable IP address <> Technology/Infrastructure', 'providers NAT <> Technology/Infrastructure']"
"BONSALL - A man died after being found critically injured on a North County roadway late Friday, apparently a victim of a hit-and-run crash, an officer said on Saturday, Feb.","['BONSALL <> Location', 'man <> Person', 'North County roadway <> Location', 'hit-and-run crash <> Event', 'officer <> Profession/Role']"
"They are extremely expensive to both the injured and your organization, as medical expenses alone can easily top tens of thousands of dollars.","['medical expenses <> cost', 'injured <> person', 'organization <> business', 'thousands of dollars <> amount']"
"For limo service from near Northern NJ, make Royal Limo your top choice.","['limo service <> transportation service', 'Northern NJ <> geographic location', 'Royal Limo <> limousine rental company']"
His simplistic movement and turned-in feet technique would create a new distinctive style of dancing that would make his work memorable.,"['simplistic movement <> dance style', 'turned-in feet technique <> dance technique', 'distinctive style <> dance style', 'memorable work <> artistic achievement']"
SOARA “hams” will join with thousands of other Amateur Radio operators showing their emergency capabilities this weekend.,"['SOARA <> Amateur Radio Club', '“hams” <> Amateur Radio Operators', 'Amateur Radio <> Communication Technology', 'Emergency Capabilities <> Preparedness', 'Weekend <> Time Period']"
"A conglomerate with a diversified portfolio in the areas of infrastructure, tyres, information technology, health, energy and plantations.","['conglomerate <> organization', 'infrastructure <> industry', 'tyres <> product', 'information technology <> industry', 'health <> industry', 'energy <> industry', 'plantations <> industry']"
His unique style has brought jazz dance to the spotlight like never and till today his pieces are being showcased in front of hundreds of people and inspiring upcoming directors and choreographers.,"['Jazz dance <> Dance style', 'Spotlight <> Attention', 'Pieces <> Choreography', 'Directors <> Filmmakers', 'Choreographers <> Dance creators']"
"Over the past three years, 17 high school football players have died after sustaining head injuries while playing. A similar situation in the NFL would have caused a national uproar, so how has this been allowed to happen to our youth?","['17 high school football players <> victims of head injury', 'youth <> vulnerable population', 'NFL <> professional football league', 'national uproar <> public outcry', 'head injuries <> traumatic brain injuries', 'playing football <> participating in contact sports']"
"Earthquakes, fires, storms, tornadoes, ice and even the occasional cutting of fiber optic cables leave people without the means to communicate.","['Earthquakes <> Natural Disaster', 'fires <> Natural Disaster', 'storms <> Natural Disaster', 'tornadoes <> Natural Disaster', 'ice <> Natural Phenomenon', 'fiber optic cables <> Communication Infrastructure']"
"It was by the far the most far sighted club in Newport at that time. Real acts, people that were household names and wall to wall music. the period was the late 60s early 70s and if the swinging era had missed the rest of Newport, it had certainly found its mark in Kensington Place.","['Newport <> Location', 'club <> Venue', 'Real acts <> Performers', 'household names <> Fame', 'wall to wall music <> Music scene', 'late 60s early 70s <> Time period', 'swinging era <> Cultural movement', 'Kensington Place <> Location']"
"New member here, 1st post, not a mechanic. Heat blows cold - Coolant level is good, car runs at normal temp (half way btwn C an H), heater control valve/blend door (? ) cable moves when temp ***** are turned from hot to cold and back.","['Heat <> Temperature control', 'Coolant level <> Car fluid', 'Normal temp <> Temperature', 'Heater control valve/blend door <> Temperature control', 'Cable <> Mechanical part']"
"We’re poly-disciplined leaders in branding, design, web, mobile, social, SEO, PPC and print.","['branding <> service', 'design <> service', 'web <> service', 'mobile <> service', 'social <> service', 'SEO <> service', 'PPC <> service', 'print <> service']"
"If you need car service to the airport from Northern NJ, Royal Limo is here to serve your needs. At Royal Limo we strive to provide the dependability and outstanding service you would expect from a luxury car service.","['car service <> transportation service', 'airport <> transportation hub', 'Northern NJ <> geographical location', 'Royal Limo <> transportation company', 'dependability <> quality', 'outstanding service <> quality', 'luxury car service <> transportation service']"
"An opulent wine that reveals notes of red fruit. In the mouth, silky tannins all in harmony and lightness. The finish is fresh.","['opulent wine <> type of wine', 'red fruit <> type of fruit', 'silky tannins <> wine component', 'harmony <> wine characteristic', 'lightness <> wine characteristic', 'finish <> wine characteristic', 'fresh <> wine characteristic']"
"Their audience size might be modest, their influence certainly is not!","['audience size <> size', 'influence <> impact']"
"The lighting truly brought the piece together, with clever colours and quick changes that correlated with certain elements of the piece.","['lighting <> artistic element', 'colours <> artistic element', 'changes <> artistic element']"
"Set in 1905, The Royale is a play loosely based on the story of the first African-American heavyweight boxing champion, John Jackson.","['The Royale <> Play', '1905 <> Time period', 'John Jackson <> Person']"
"Secondly, they may do work for contra, just because they like the brand.","['contra <> brand', 'work <> activity/work']"
"Firstly, using micro-influencers is cost-effective; you can engage with a macro influencer who may charge a substantial amount for one post or engage with multiple micro influencers for the same amount who will post multiple times.","['micro-influencers <> Marketing', 'macro influencer <> Marketing']"
What are they and what are the benefits of engaging with them for your brand?,"['brand <> company/organization', 'engaging <> action/event', 'benefits <> outcome/result']"
"Professional at what we do, we are skilled painting contractors. We have a team of painters who work safely and take on larger tasks head on. Regardless of whether the facility needs painting or coating on the outside or inside, Induspray can take easily handle it.","['Induspray <> Company', 'painters <> Occupation', 'painting <> Service']"
"At one point, both thieves, to Jesus right and left were hurling insults. (Matthew 27:44) But something changed, when one began to defend Jesus.","['Jesus <> person', 'thieves <> person', 'insults <> action', 'defend <> action']"
This miniature is 20mm tall and is supplied unpainted. Miniature Metal Matakishi was sculpted and donated by Mike Broadbent; all proceeds from the sales of this miniature go towards the upkeep of this site.,['Miniature Metal Matakishi <> Miniature Character']
"The audience is seated, rather fittingly, on four sides of the wooden platform-stage, to form a replica boxing ring.","['audience <> group of people', 'wooden platform-stage <> physical object', 'boxing ring <> physical object']"
High style range made from breathable and sweat wicking fabric.,"['High style <> Fashion item', 'breathable <> Fabric feature', 'sweat wicking <> Fabric feature']"
"Similarly, the music throughout created tension and carried the play along.","['music <> art form', 'tension <> emotion', 'play <> theatrical production']"
The bottom with its full length style is highlighted with soft ankle cuffs and broad soft waistline panel.,"['ankle cuffs <> clothing item', 'waistline panel <> clothing item']"
Hayri Istay. We appreciate his work which offers the soul of Anadol STC of 70's and carry to 2010.,"['Hayri Istay <> Person', 'Anadol STC <> Company/Product', '2010 <> Time/Year']"
The ample spaced bottom and well styled top blend in the designer touch.,"['ample <> size', 'styled top <> clothing', 'designer touch <> profession']"
Consider these questions; what are you trying to achieve?,"['you <> person/individual', 'trying to achieve <> action/goal', 'what <> question word', 'achieve <> action/goal']"
"Robin Sharma, the world's most famous life coach and author of ""The Monk who sold his Ferrari"" has been in Istanbul Turkey, for the presentation of his new book.","['Robin Sharma <> Person', '""The Monk who sold his Ferrari"" <> Book', 'Istanbul Turkey <> Location', 'new book <> Book']"
"Think Nicole Warne, Elle Fergusson right through to Gigi Hadid and Kendall Jenner.","['Nicole Warne <> Person', 'Elle Fergusson <> Person', 'Gigi Hadid <> Person', 'Kendall Jenner <> Person']"
"The super stylish, yet high comfort range of Royal Blue Yoga Suit comes with a distinctive jersey and track pant set that is purely divine.","['Royal Blue Yoga Suit <> Clothing Item', 'Jersey <> Clothing Item', 'Track Pant <> Clothing Item']"
Who is your audience? What do you want your brand to represent?,"['audience <> target audience', 'brand <> brand identity', 'represent <> brand messaging']"
Hideous floating creatures who announce their presence with the noise of the fly swarms that accompany them. Fueled by an inner fire they are relentless in attack.,['Hideous floating creatures <> Monsters']
"The cool and comfort factor brought in with the richly imbibed full sleeved top, is well balanced with boat neckline and perfect line and length.","['full sleeved top <> Clothing item', 'boat neckline <> Clothing feature', 'line and length <> Clothing feature']"
"The Peking to Paris rally ended on Saturday with a parade through the streets of Paris celebrating the end of this remarkable 10,000 mile event.","['Peking <> Location', 'Paris <> Location', 'Saturday <> Time', '10,000 mile event <> Event']"
"The play opens with a fight between Jackson and his soon-to-be training partner, with his charismatic promotor, played by Ewan Stewart, instantly drawing the audience in and enthusing us to cheer on the boxers.","['Jackson <> Character', 'training partner <> Relationship', 'Ewan Stewart <> Actor', 'promotor <> Role/Position', 'boxers <> Group']"
"89 lakhs includes creation of tourist facilities around important temples, dams, reservoirs and forts, the release added.","['tourist facilities <> Tourism Infrastructure', 'important temples <> Religious Sites', 'dams <> Infrastructure', 'reservoirs <> Infrastructure', 'forts <> Historical Sites']"
"The project sanctioned for development of heritage tourist circuit in Kadapa district at a cost of Rs3,962.","['heritage tourist circuit <> Tourist attraction', 'Kadapa district <> Geographical location', 'Rs3,962 <> Amount']"
"Everyday consumers who have a significant social media following of anywhere between 1,000 to 100,000.","['Everyday consumers <> Person', 'social media following <> Social Media', '1,000 to 100,000 <> Range']"
"One word comes to mind, celebrity; known in the entertainment industry and boast hundreds of thousands, even millions, of followers across multiple social media platforms.","['celebrity <> person', 'entertainment industry <> industry', 'social media <> platform']"
"""Through our obedience to Him to pray together, we can exponentially give birth to new believers. Isn't it exciting that we can come together to seek His heart, with no other accessories needed, gain a glimpse of His heart and pray then with results?","['Him <> deity', 'believers <> people', 'come together <> gathering', 'seek His heart <> worship', 'results <> outcome']"
The entire cast should be congratulated on their slick and unified performance.,"['cast <> group of people', 'performance <> act', 'unified <> characteristic', 'congratulated <> action']"
"Authenticity – just like with a friend, you wouldn’t recommend a place or product unless you loved it.","['Authenticity <> Characteristic', 'friend <> Relationship', 'place <> Location', 'product <> Item', 'love <> Emotion']"
Experience – macro influencers have years of experience working with brands on small and large projects.,"['macro influencers <> person/role', 'brands <> company/organization', 'small projects <> project/type of work', 'large projects <> project/type of work']"
"""
According to 2008 data from the Florida Department of Highway Safety and Motor Vehicles, 2,983 individuals were killed in car accident related crashes.","['Florida Department of Highway Safety and Motor Vehicles <> Government Agency', '2008 <> Time', '2,983 individuals <> People', 'car accident related crashes <> Event']"
"The same goes with micro influencers. They have a niche audience, a tribe that is closely aligned with their passions, interests and will only share content that matches their style.","['micro influencers <> social media influencer', 'niche audience <> target audience', 'tribe <> community', 'passions <> interests', 'style <> aesthetic']"
"Working with both micro or macro influencers has its benefits, ultimately, it’s knowing what’s right for the brand and what the goal is.","['micro influencers <> influencer type', 'macro influencers <> influencer type', 'brand <> company/entity', 'goal <> objective']"
"Loyal – when it comes it to promoting your brand, micro-influencers can become crucial in an ongoing campaign.","['brand <> company/entity', 'micro-influencers <> individual/entity', 'campaign <> marketing/entity']"
"New VW Scirocco is a good exemple of such a reproduced cars, like GM's Camaro, Mustang, Corvette and some more could be listed. And now, Anadol STC has ben redesigned as a consept car by a Turkish Designer, Mr.","['VW Scirocco <> Car Model', ""GM's Camaro <> Car Model"", 'Mustang <> Car Model', 'Corvette <> Car Model', 'Anadol STC <> Car Model', 'Turkish Designer <> Person']"
"His Love is that real. ""
You just know people, how we are and how we are not; By cross referencing Scriptures, we get a picture of the Event at Calvary.","['Love <> Emotion/Feeling', 'People <> Human beings', 'Scriptures <> Religious texts', 'Event at Calvary <> Religious event']"
"If your manufacturing plant, factory, warehouse, or commercial/industrial building needs a major interior or exterior overhaul, you need to contact a specialized painting contractor company. Induspray offers exceptional industrial painting services throughout the Akron, Ohio region.","['manufacturing plant <> building type', 'factory <> building type', 'warehouse <> building type', 'commercial/industrial building <> building type', 'specialized painting contractor company <> service provider', 'Induspray <> company name', 'Akron, Ohio <> location']"
They constantly check in with their followers for feedback and so are seen as authentic and this will be reflected on the brand collaborations.,"['followers <> audience', 'feedback <> communication', 'authenticity <> trait', 'brand collaborations <> partnership']"
"Of these traffic deaths, 1,795 individuals were either drivers or passengers in safety belt equipped vehicles. Sixty percent (1,085) of these people killed were not wearing a safety belt.","['traffic deaths <> event', 'drivers <> occupation', 'passengers <> occupation', 'safety belt equipped vehicles <> object', 'safety belt <> safety equipment', 'wearing a safety belt <> action']"
"Co-sponsors and collaborators include: Latino and Latina Studies, Latinx and Black Seminarians, Native Americans in Tennessee Interacting at Vanderbilt (NATIVe), Al's Pub, Freedom Arts Nashville, Religion in the Arts by Vanderbilt Divinity.","['Latino and Latina Studies <> Academic department', 'Latinx and Black Seminarians <> Student group', 'Native Americans in Tennessee Interacting at Vanderbilt (NATIVe) <> Native American organization', ""Al's Pub <> Restaurant/bar"", 'Freedom Arts Nashville <> Arts organization', 'Religion in the Arts by Vanderbilt Divinity <> Academic program']"
"Hampi world heritage site in Karnataka, heritage tourist circuit in Kadapa in Andhra Pradesh (AP), Ganga heritage river cruise circuit in West Bengal (WB) and Gangtok in Sikkim have got the nod of the Tourism Ministry to be developed as mega tourist destinations, a release said.","['Hampi <> world heritage site', 'Karnataka <> state', 'Kadapa <> heritage tourist circuit', 'Andhra Pradesh (AP) <> state', 'Ganga <> heritage river cruise circuit', 'West Bengal (WB) <> state', 'Gangtok <> mega tourist destination']"
